disease,symptoms,precautions
Fungal infection,"itching, skin rash, nodal skin eruptions, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"skin rash, nodal skin eruptions, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"itching, nodal skin eruptions, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"itching, skin rash, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"itching, skin rash, nodal skin eruptions",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"skin rash, nodal skin eruptions, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"itching, nodal skin eruptions, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"itching, skin rash, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"itching, skin rash, nodal skin eruptions",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Fungal infection,"itching, skin rash, nodal skin eruptions, dischromic  patches",bath twice | use detol or neem in bathing water | keep infected area dry | use clean cloths
Allergy,"continuous sneezing, shivering, chills, watering from eyes",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"shivering, chills, watering from eyes",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"continuous sneezing, chills, watering from eyes",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"continuous sneezing, shivering, watering from eyes",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"continuous sneezing, shivering, chills",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"shivering, chills, watering from eyes",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"continuous sneezing, chills, watering from eyes",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"continuous sneezing, shivering, watering from eyes",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"continuous sneezing, shivering, chills",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
Allergy,"continuous sneezing, shivering, chills, watering from eyes",Consult a doctor | Get adequate rest | Stay hydrated | Follow prescribed treatment
GERD,"stomach pain, acidity, ulcers on tongue, vomiting, cough, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
GERD,"stomach pain, ulcers on tongue, vomiting, cough, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
GERD,"stomach pain, acidity, vomiting, cough, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
GERD,"stomach pain, acidity, ulcers on tongue, cough, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
GERD,"stomach pain, acidity, ulcers on tongue, vomiting, chest pain",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
GERD,"stomach pain, acidity, ulcers on tongue, vomiting, cough",avoid fatty spicy food | avoid lying down after eating | maintain healthy weight | exercise
